title;year;authors;first_author;source_title;document_type;volume;issue;pages;doi;link;abstract;author_keywords;index_keywords;selection_note
Continuous model calibration framework for smart-building digital twin: A generative model-based approach;2024;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems;2025;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
DIGITAL TWIN VALIDATION FOR SHOULDER JOINT BIOMECHANICAL SIMULATION;2022;"Fernández-Álvarez J.J.; Roces-García J.; Lamela-Rey M.J.; Pena-Vázquez J.";Fernández-Álvarez J.J.;Dyna (Spain);Article;97;6;;10.6036/10656;https://www.scopus.com/pages/publications/85146528781?origin=resultslist;Glenohumeral joint is the main responsible of the shoulder’s movement. In this moment, Shoulder arthroplasty is increasing rapidly [1] to treat both arthritis and bone fractures. However, there are limited studies about their biomechanical behaviour. The number of studies reduces even more if reverse shoulder prosthesis, a type of prosthesis in which the component that recreates the humeral head is placed in the glenosphere, are considered. After the placement of these prosthesis to solve a fracture, usually in four fragments, some cases of reduced bone density (bone remodelling) have been noted, causing long term problems due to the loss of muscular insertions. In this context, this document presents a methodology to generate digital twins of the shoulder joint from clinic images [2], prepared to perform finite element (FE) simulations on which the prosthesis can be included and perform virtual surgeries. The methodology starts with clinical images (Argus CT, Sedecal Molecular Imaging SLU®) of the shoulder joint, which enable surface detailed models with the program 3D SLICER. These models are imported into the program SPACECLAIM developed by ANSYS® for their debugging, their conversion into solid models and their combination with the prosthesis. After that procedure, the meshing of these models is generated. In order to assign the bone’s mechanical properties, a program named BONEMAT is used. In this program, the meshes of the model and the images are imported and the program assigns to every node of the mesh the mechanical properties of the Houndsfield units of the images. The mechanical properties of the prosthesis’ mesh are defined by their manufactured material. The last step in this methodology consists in reintroducing the meshes into ANSYS [3], applying the boundary conditions and performing the simulation. This FE simulations have been validated with a lab test performed on pork bones with a reverse shoulder prosthesis (INTEGRA Titan Reverse Shoulder Prosthesis), on which a load test has been performed, using a triaxial testing machine Walter & Bai. To do so, the bone have been tomographied and applying the methodology previously described, the displacement was calculated under the conditions of the lab test (figure 1). (Figure Presented) The data was acquired from the control system of the testing machine (force and head displacement) which were compared with the simulated tests. The analysis shows a difference between the real and simulated tests lower than 15%. The main conclusion obtained from this work is that performance simulations of the shoulder joint are possible. To allow this procedure, a partnership between medical personnel and engineers is critical. The results of these simulations can help the medical team with their predictions of the behaviour of the joint, possible problems with internal stresses, bone remodelling and the degree of integration of the prosthesis in the patient. © 2022 Publicaciones Dyna Sl. All rights reserved.;;;Added as transferable digital-twin validation research from another domain.
Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing;2013;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins;2024;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations;2025;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection;2025;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction;2023;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING;2021;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation;2024;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration;2025;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation;2022;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation;2026;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data;2024;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Digital twin-assisted gearbox dynamic model updating toward fault diagnosis;2023;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models;2022;;;;;;;;;;;;;Added as transferable digital-twin validation research from another domain.
