screening_id,record_key,entry_type,title,year,authors,first_author,source_title,volume,issue,pages,doi,scopus_url,document_type,publication_stage,scopus_source,language,citation_note,open_access_note,pdf_search_query,suggested_pdf_filename,pdf_status,pdf_file_path,duplicate_group,duplicate_decision,level_0_decision,level_0_exclusion_criterion,level_0_notes,level_0_language_flag,level_1_title_decision,level_1_exclusion_criterion,level_1_notes,level_2_abstract_decision,level_2_exclusion_criterion,level_2_notes,level_3_fulltext_decision,level_3_exclusion_criterion,level_3_notes,final_decision,included_reason,abstract,author_keywords,index_keywords,abstract_source_key,abstract_source_status,manual_level3_decision,manual_level3_note,classification_source,source_screening_id,object_class_decision,object_class_label,object_class_note,addition_source,addition_note
OLDOBJ0001,OLDOBJ0001,,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0001,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
NS2174,2-s2.0-85211817659,Conference paper,Thermal Model Validation of a Power Electronics Module for Digital Twin Application,2024,Zoller S.; Cabre-Piqueras C.; Schilder B.; Filba-Martinez A.; Acker L.,Zoller S.,"ECCE Europe 2024 - Energy Conversion Congress and Expo Europe, Proceedings",,,,10.1109/ECCEEurope62508.2024.10751873,https://www.scopus.com/pages/publications/85211817659?origin=resultslist,Conference paper,Final,Scopus,English,Cited by 1,,10.1109/ECCEEurope62508.2024.10751873,2024 - Thermal Model Validation of a Power Electronics Module for Digital Twin Application.pdf,,,,,Include,,,,Include,,Title contains DT/model and validation/update signals; kept as potentially transferable.,Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"Thermal stress is a critical failure factor for power electronics components. Hence, when developing a precise digital twin for a power system, it is imperative that thermal models provide a reliable portrayal of the component physics. In that regard, manufacturers offer simplified thermal models that enable designers and users to estimate its behaviour. Nevertheless, the accuracy of these models remains unknown, thus compromising the overall certainty of the digital twin. Therefore, it is of interest to discern whether these simplified models are sufficient for the precision required by the digital twin, and to assess the need of developing a more accurate model. Hence, this paper focuses on validating the theoretical thermal model of a power electronics switch module setup by using the deviation of the module mean time to failure (MTTF) as the acceptance parameter. To achieve this, a novel experimental validation methodology is proposed to retrieve an experimental thermal model and compare it to the theoretical one. This validation is performed considering the discrete thermal impedances and introducing the study of the coupling effects within the module. © 2024 IEEE.",,,2-s2.0-85211817659,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,screening_level3_included,Added as transferable digital-twin validation research from another domain.
OLDOBJ0003,OLDOBJ0003,,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0003,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
NS3381,2-s2.0-85146528781,Article,DIGITAL TWIN VALIDATION FOR SHOULDER JOINT BIOMECHANICAL SIMULATION,2022,Fernández-Álvarez J.J.; Roces-García J.; Lamela-Rey M.J.; Pena-Vázquez J.,Fernández-Álvarez J.J.,Dyna (Spain),97,6,,10.6036/10656,https://www.scopus.com/pages/publications/85146528781?origin=resultslist,Article,Final,Scopus,English,Cited by 1,,10.6036/10656,2022 - DIGITAL TWIN VALIDATION FOR SHOULDER JOINT BIOMECHANICAL SIMULATION.pdf,,,,,Include,,,,Include,,Title contains DT/model and validation/update signals; kept as potentially transferable.,Include,,"Abstract contains DT/model, production/manufacturing, and explicit validation/calibration/update/synchronization evidence.",Exclude,L3-E-MANUALSCOPE,Pre-applied from previous Level 3 manual review on overlapping record.,Exclude,,"Glenohumeral joint is the main responsible of the shoulder’s movement. In this moment, Shoulder arthroplasty is increasing rapidly [1] to treat both arthritis and bone fractures. However, there are limited studies about their biomechanical behaviour. The number of studies reduces even more if reverse shoulder prosthesis, a type of prosthesis in which the component that recreates the humeral head is placed in the glenosphere, are considered. After the placement of these prosthesis to solve a fracture, usually in four fragments, some cases of reduced bone density (bone remodelling) have been noted, causing long term problems due to the loss of muscular insertions. In this context, this document presents a methodology to generate digital twins of the shoulder joint from clinic images [2], prepared to perform finite element (FE) simulations on which the prosthesis can be included and perform virtual surgeries. The methodology starts with clinical images (Argus CT, Sedecal Molecular Imaging SLU®) of the shoulder joint, which enable surface detailed models with the program 3D SLICER. These models are imported into the program SPACECLAIM developed by ANSYS® for their debugging, their conversion into solid models and their combination with the prosthesis. After that procedure, the meshing of these models is generated. In order to assign the bone’s mechanical properties, a program named BONEMAT is used. In this program, the meshes of the model and the images are imported and the program assigns to every node of the mesh the mechanical properties of the Houndsfield units of the images. The mechanical properties of the prosthesis’ mesh are defined by their manufactured material. The last step in this methodology consists in reintroducing the meshes into ANSYS [3], applying the boundary conditions and performing the simulation. This FE simulations have been validated with a lab test performed on pork bones with a reverse shoulder prosthesis (INTEGRA Titan Reverse Shoulder Prosthesis), on which a load test has been performed, using a triaxial testing machine Walter & Bai. To do so, the bone have been tomographied and applying the methodology previously described, the displacement was calculated under the conditions of the lab test (figure 1). (Figure Presented) The data was acquired from the control system of the testing machine (force and head displacement) which were compared with the simulated tests. The analysis shows a difference between the real and simulated tests lower than 15%. The main conclusion obtained from this work is that performance simulations of the shoulder joint are possible. To allow this procedure, a partnership between medical personnel and engineers is critical. The results of these simulations can help the medical team with their predictions of the behaviour of the joint, possible problems with internal stresses, bone remodelling and the degree of integration of the prosthesis in the patient. © 2022 Publicaciones Dyna Sl. All rights reserved.",,,2-s2.0-85146528781,from_scopus_csv,OUT,Pre-applied from previous Level 3 manual review on overlapping record.,,,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,screening_level3_review,Added as transferable digital-twin validation research from another domain.
NS2650,2-s2.0-85147746310,Article,Methodology for enabling dynamic digital twins and virtual model evolution in industrial robotics - a predictive maintenance application,2023,Aivaliotis P.; Arkouli Z.; Georgoulias K.; Makris S.,Aivaliotis P.,International Journal of Computer Integrated Manufacturing,36,7,947-965,10.1080/0951192X.2022.2162591,https://www.scopus.com/pages/publications/85147746310?origin=resultslist,Article,Final,Scopus,English,Cited by 43,All Open Access; Hybrid Gold Open Access,10.1080/0951192X.2022.2162591,2023 - Methodology for enabling dynamic digital twins and virtual model evolution in industrial robotics - a predictive maintenance application.pdf,,,,,Include,,,,Include,,"Title contains DT/model, validation/update, and production/manufacturing signals.",Uncertain,,"Abstract contains DT and production/manufacturing context, but validation/update evidence is not explicit enough.",Include,,Pre-applied from previous Level 3 manual review on overlapping record.,,,"A methodology for enabling the implementation of the Digital Twins (DTs) of industrial robots and complex machines is presented. The enabled DT can provide a series of benefits, for instance when combined with the degradation curves of critical health indicators can allow predicting the robots’ RUL. This paper suggests a systematic and generic methodology to address challenges such as (1) the definition of the physics-based model parameters for accurate DTs, (2) selection of the parameters to tune and the frequency of their tuning to capture the physical changes in the digital world, (3) calculation of new modeling parameters values based on the collected filed data and their automated propagation to the digital model. A software module to implement these functionalities was developed, whereas the testing and validation of the module were held for an industrial robotic manipulator for a manufacturing application. The results prove that the methodology is generic to accommodate the desired granularity per case, and that the tuning of the digital model ensures realistic DTs, which sets the foundation for physics-based predictive maintenance tools. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",,,2-s2.0-85147746310,from_scopus_csv,IN,Pre-applied from previous Level 3 manual review on overlapping record.,,,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,screening_level3_included,Added as transferable digital-twin validation research from another domain.
OLDOBJ0005,OLDOBJ0005,,Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0005,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0006,OLDOBJ0006,,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0006,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0009,OLDOBJ0009,,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0009,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0010,OLDOBJ0010,,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0010,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0011,OLDOBJ0011,,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0011,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0012,OLDOBJ0012,,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0012,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0017,OLDOBJ0017,,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0017,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0018,OLDOBJ0018,,Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0018,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0021,OLDOBJ0021,,Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0021,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0025,OLDOBJ0025,,System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0025,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0026,OLDOBJ0026,,"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0026,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0028,OLDOBJ0028,,Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0028,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
OLDOBJ0029,OLDOBJ0029,,Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include,,,,,,,,,,IN,Imported previous-screening inclusion.,old_screened_converted,OLD0029,NON_PRODUCTION_USED,Not production system but used in paper,Included as transferable digital-twin validation research from another domain.,old_screened_converted,Added as transferable digital-twin validation research from another domain.
